sha256	pkg_name	declared_pkg	version_code	version_name	tier	arm	issuer	size_bytes	parse_ok
00354054A74022392158A884A861E6F1CCF0DBA121A851913E29EA3C179421B3	com.corporatefedmobile	com.corporatefedmobile	212	1.5.10	A	era_matched	Federal Bank	6635154	True
02746ED30191D14669E3A620B63389C031EBA21A5914980DD3FB46EC81963AED	com.equitas.elevate	com.equitas.elevate	155	2.0.0	A	current	Equitas Small Finance Bank	75814796	True
034D44D7E9037D980C0E4FEC8F13BF8E574701E04E735DD74B297EBF2B06C0E1	com.db.pwcc.dbmobile	com.db.pwcc.dbmobile	40340	3.34.0.40340	D	current	Deutsche Bank Germany	34358487	True
038DFEDC8611E3EF4452F3D69AE67CFF992201D09E5881919191AF0D89A2EAB0	com.janabank.mtc	com.janabank.mtc	132	2.3.2	A	current	Jana Small Finance Bank	37289542	True
091341C57741BDF5D399ED6305FFF7EC51AE75C02C871A75967215C95A68E267	air.app.scb.breeze.android.main.in.prod	air.app.scb.breeze.android.main.in.prod	30700037	5.2.9	A	era_matched	Standard Chartered India	66751145	True
0BFC4B451677CE042B0B53F1AE626D29E39B66FBD3235B5AC29D2AD29D778D42	com.db.pwcc.dbmobile	com.db.pwcc.dbmobile	13995	1.11.0	D	era_matched	Deutsche Bank Germany	48039152	True
0E71BAB2986B69BC5B294E59D5319A356DEE4562689C5B47EB2ED1B6B4BFF71D	com.lcode.clabmbanking	com.lcode.clabmbanking	12	1.0.6	A	era_matched	Capital Small Finance Bank	14858636	True
12BEF588C2347BC7030B0EC543986778AC23B9C716D145E631388CCCA79068BA	com.indusind.indie	com.indusind.indie	92	2.0.9	A	current	IndusInd Bank	107877090	True
1D88537C4266566AF1FE0E6D74915D2E03EBC74AA2B793FC24128F6564EA8ED8	com.sc.privatebank.pvm	com.sc.privatebank.pvm	11113715	13.7.15	D	current	Standard Chartered Private Bank	185743556	True
1DEE7D78CC8684B27EFF63C2AF71AD273C45067D929C2FADD59C37BD4836B6AE	com.hdfcbank.android.now	com.hdfcbank.android.now	116	7.5.3	A	current	HDFC Bank	74632165	True
1E071AF25818230ECFC5B3CDBCABB7803EABD3D87404E0F00F7CB597C94F1B39	com.psb.omniretail	com.psb.omniretail	117	3.5.1	A	current	Punjab and Sind Bank	79614506	True
2178D875D9D5CB0BBD290B2D5D5ED71C0108C972B6180820E8FE2B4B52BD64A9	com.infrasoft.uboi	com.infrasoft.uboi	1173	8.1.7	A	current	Union Bank of India	162109843	True
22213A31147480996F7CAE0236914BF373D38DB6D3D3B7B4DA9865979BD95061	com.lcode.ucomobilebanking	com.lcode.ucomobilebanking	5	2.0.4	A	era_matched	UCO Bank	8745179	True
23005064FF63D6695F525DFF1D342CE9532A2EADA8A2C50EC71B96C57A66F6B5	com.yesbank.yespaynext	com.yesbank.yespaynext	93	1.9.62	A	current	Yes Bank	26408745	True
27C2841BBCD387A8105EB8D8EEEC6FDC7A9CBCF18674ABB35B1F6AE7957ADE6D	com.sbi.SBIFreedomPlus	com.sbi.SBIFreedomPlus	1163	7.2.0	A	current	State Bank of India	86657461	True
2B8A8A9FAD9AE71F30A35EBFD1B5A006CE6E49E2CC1BBC482F4A955FABD9FB9F	com.sbi.lotusintouch	com.sbi.lotusintouch	1243506	1.24.35	A	current	State Bank of India	114723000	True
2D7FBD230999F311829ECE02F79459E3632CD6752547AE3851E4CCC827B6B66E	com.fedmobile	com.fedmobile	43400226	4.3.12	A	era_matched	Federal Bank	15296320	True
2DD141F375714CFB4CCF0201C656DD610C428107DE97B43991F4B46AEE191DAF	com.sbi.SBIFreedomPlus	com.sbi.SBIFreedomPlus	1087	5.3.27	A	era_matched	State Bank of India	40900027	True
2E16B731E3A849115512178276DFB960A21B075CC2AD803345E225F9CDE2595B	com.iexceed.ib.digitalbankingprod	com.iexceed.ib.digitalbankingprod	105	1.0.51	A	current	Indian Bank	154903847	True
2E8800C401CA9CE3FBE5E2638E3C7DC18AEEDEEC2C3FB299AA509CDFC843ECE9	com.csam.icici.bank.imobile	com.csam.icici.bank.imobile	194	9.4	A	era_matched	ICICI Bank	40082446	True
340547E57DF9207B65591905BAC91DAF6D41067F86689CFFC46BDFB05D28EA17	com.suryoday.MB	com.suryoday.MB	1018	20.0.18	A	current	Suryoday Small Finance Bank	29062037	True
34EFE385D6A200549FE01E1DF4B8DAC3EC5D42BEB15D4B1270E10187D1D6665B	com.db.pbc.mibanco	com.db.pbc.mibanco	21	2.3.4	D	era_matched	Deutsche Bank Spain	24459904	True
380CAF1303906CBDB2E6841692EE5829B3BDB015B6EF579E6E4656950ED77B10	com.indusind.indiebiz	com.indusind.indiebiz	30	1.0.10	A	current	IndusInd Bank	93358415	True
3CF7D9F847AECA2D98CCFBF67CFB0602E0F5367F11786E138F9DA61183437B99	com.boi.ua.android	com.boi.ua.android	112	3.3.0	A	current	Bank of India	70059587	True
432FC8898DBEF3096245E2AE12492AA27DC8F7F162DCA550AD5D538AB7D754F6	com.db.pbc.mybank.in	com.db.pbc.mybank.in	12	1.0.12	A	era_matched	Deutsche Bank India	5898737	True
43EE6DC1BD10B3DE0F6F19732839958C66A0805DE70D573BBE7B98E505BB5CC5	com.snapwork.hdfc	com.snapwork.hdfc	121	10.0.5	A	era_matched	HDFC Bank	27693290	True
45146A226D0AC67F29280C49A9433A7446E2FD4426DE9F95F03B5B863D080516	com.centralbank.retail.omni	com.centralbank.retail.omni	73	1.3.28	A	current	Central Bank of India	87873147	True
47D8B443197698C8E07DFAC2DF530A8CC1980157FFC16B29C8FA69D65BE655C1	com.snapwork.hdfc	com.snapwork.hdfc	318	11.3.3	A	current	HDFC Bank	54403006	True
48C6C919F919B86BACE280FC899C8700D2B20A283E86072EC2BE13622F9C98F9	com.Version1	com.Version1	187	2.73	A	current	Punjab National Bank	138731517	True
508308344EACB5A767339F2F5AE791D4543E105BC5BFA7C3D691628AE12781BC	com.sc.breezeje.banking	com.sc.breezeje.banking	40	2.3	D	era_matched	Standard Chartered Jersey	12290043	True
54708CDAC98C05A1A76C5142561665D7BD3FC9F3EAA3F84D325DE2DDFC5FF3F1	com.idfcfirstbank.optimus	com.idfcfirstbank.optimus	20300	2.70	A	current	IDFC First Bank	59946219	True
56033FFCF574BB046EE32800017D474D855ADCA2A5F883827AEB53ADAD43F26C	com.ujjivanbank.mobilebanking	com.ujjivanbank.mobilebanking	83	1.6.7.0	A	current	Ujjivan Small Finance Bank	18719950	True
5A953CAAF9A07F6B2BE4F00A934B7AFD76767C0C664796CD84435AADE36742BC	com.dbs.in.digitalbank	com.dbs.in.digitalbank	4100100	5.4.2	A	current	DBS Bank India	72850168	True
5DEE1024995FF7F84F1C3F4C6AAF43C5FE1A309941B18A943ADD69742078692B	net.one97.paytm	net.one97.paytm	721977	10.82.7	B	current	Paytm	50101177	True
614FDF72E33C1F1CEC38D9903690E3AC8292CB6462D106492DC1B8B1A44BFB5E	com.msf.kbank.mobile	com.msf.kbank.mobile	258	5.7.6	A	current	Kotak Mahindra Bank	38261767	True
630339D0D6B04C8FFC3631102D46B8F643BA89A23E4ABB31A06C754431EAAE7E	com.euronet.merchantapp	com.euronet.merchantapp	23	2.3	C	current	Euronet	7028778	True
65C7EF693989E88AB20264C505F5401831CA74E31B84577E3545906C58FF7BC3	net.one97.paytm	net.one97.paytm	700531	8.4.3	B	era_matched	Paytm	25653698	True
699E801BCAAB35DD7914955363238251DDCF91CF765810E35C881B145614E436	com.canarabank.mobility	com.canarabank.mobility	1065	3.6.82	A	current	Canara Bank	50160582	True
69AB008B9693EFA7416EB16404C0351E4AB30DA4A4F800623120C6549096F745	com.bankofbaroda.mconnect	com.bankofbaroda.mconnect	32	1.3.5	A	era_matched	Bank of Baroda	17583778	True
6EA25AF6D5D31DD39ECB8056CC3135FE9BA71F88E2E9C0E93905DBB972030DA9	com.sbi.lotusintouch	com.sbi.lotusintouch	12212	1.22.12	A	era_matched	State Bank of India	16530653	True
71209700E8791BA25F2CB3A377712D5A1DD5BCE7AD167EB34325C8F91ECE081A	com.YONOUKMobileApp	com.YONOUKMobileApp	32500	3.2.5	D	current	SBI UK	92184476	True
7B1A1348794100FFBABCB6ADCE168E236D720BBD9C5AAED8914C838093EC83AC	com.ubi.parivar	com.ubi.parivar	17	3.0.11	A	current	Union Bank of India	2207025	True
7B899D5785BDB1C81060432C7528B0B417BD6673CA4D58CAC73339F14BF5E1DF	com.mgs.pnbupi	com.mgs.pnbupi	67	1.25	A	current	Punjab National Bank	19174003	True
7D8F408CE979917C425B5E12779A8A37A7057FBDDED8093EA4047096B3EB7C5D	com.pnb.cbdc	com.pnb.cbdc	33	2.2.4	A	current	Punjab National Bank	19443867	True
7EC6888D9728290F4300D804CE2CEC4D62014FD7B5F75687E7B7996710BDCE85	com.db.pbc.mybank.in	com.db.pbc.mybank.in	79	2.1.34	A	current	Deutsche Bank India	39833086	True
7F69A97E633101FA414B2637AE99C3F83199C525E66B718E8D34CFF5FDA88F77	com.canarabank.candimerchant	com.canarabank.candimerchant	15	1.0.12	A	current	Canara Bank	11312403	True
81F5649E1545E77755B1F25867C4106A40796D04CFF1B756FBA03D7586397D4D	com.dbs.sg.dbsmbanking	com.dbs.sg.dbsmbanking	286753	25.8.3	D	current	DBS Singapore	92225050	True
83617D2E048A2FC6EDA82CABF6FFD2B06A5CFEC7B4813AA8D83680C23FB6AF9C	com.capitalfirst.connector	com.capitalfirst.connector	302	2.9.4	A	current	IDFC First Bank	28310975	True
847B564EBC390C51F7F6E5A0991F79F25087E37542239F4DBBE72F88A3A750A2	com.corporatefedmobile	com.corporatefedmobile	261	3.0.2	A	current	Federal Bank	61912505	True
85D9D64616DA01E2BE7219E141620F453B97DA25AA23AF7D80F01532BBB9A395	com.shivalik.mb	com.shivalik.mb	23	1.0.16	A	current	Shivalik Small Finance Bank	16488179	True
87427F2D8F409A3421B698248F65724ECA54FBC36BF0A365521BEB42760A314D	indwin.c3.shareapp	indwin.c3.shareapp	1040	18.0.0	C	current	CRED	131785708	True
8F71C10F2D2FA4A9E571B9E50871BE36FDF24417A859FDFA0C5B431EB0CFD157	com.kotak811mobilebankingapp.instantsavingsupiscanandpayrecharge	com.kotak811mobilebankingapp.instantsavingsupiscanandpayrecharge	515	5.1.5	A	current	Kotak Mahindra Bank	93645172	True
