sha256,sha1,md5,dex_date,apk_size,pkg_name,vercode,vt_detection,vt_scan_date,dex_size,markets
1111111111111111111111111111111111111111111111111111111111111111111111,AAAA,BBBB,1980-01-01 00:00:00,1000000,"com.phonepe.app",100,0,2018-03-01 00:00:00,400000,play.google.com
2222222222222222222222222222222222222222222222222222222222222222222222,AAAA,BBBB,1980-01-01 00:00:00,1200000,"com.phonepe.app",150,0,2019-11-01 00:00:00,400000,play.google.com
3333333333333333333333333333333333333333333333333333333333333333333333,AAAA,BBBB,1980-01-01 00:00:00,2000000,"com.phonepe.app",300,0,2022-06-01 00:00:00,400000,play.google.com
4444444444444444444444444444444444444444444444444444444444444444444444,AAAA,BBBB,1980-01-01 00:00:00,900000,"com.sbi.SBIFreedomPlus",50,0,2017-05-01 00:00:00,300000,play.google.com|anzhi
5555555555555555555555555555555555555555555555555555555555555555555555,AAAA,BBBB,1980-01-01 00:00:00,950000,"com.sbi.SBIFreedomPlus",60,0,2020-01-15 00:00:00,300000,play.google.com
6666666666666666666666666666666666666666666666666666666666666666666666,AAAA,BBBB,1980-01-01 00:00:00,800000,"net.one97.paytm",200,0,2019-12-31 00:00:00,300000,play.google.com
7777777777777777777777777777777777777777777777777777777777777777777777,AAAA,BBBB,1980-01-01 00:00:00,850000,"net.one97.paytm",190,0,2018-01-01 00:00:00,300000,play.google.com
8888888888888888888888888888888888888888888888888888888888888888888888,AAAA,BBBB,1980-01-01 00:00:00,700000,"com.mobikwik_new",80,0,2019-06-01 00:00:00,250000,anzhi|apkpure
9999999999999999999999999999999999999999999999999999999999999999999999,AAAA,BBBB,1980-01-01 00:00:00,650000,"com.mobikwik_new",90,,2019-07-01 00:00:00,250000,play.google.com
1010101010101010101010101010101010101010101010101010101010101010101010,AAAA,BBBB,1980-01-01 00:00:00,720000,"com.mobikwik_new",95,1,2019-08-01 00:00:00,250000,play.google.com
1212121212121212121212121212121212121212121212121212121212121212121212,AAAA,BBBB,1980-01-01 00:00:00,600000,"com.mobikwik_new",70,0,,250000,play.google.com
1313131313131313131313131313131313131313131313131313131313131313131313,AAAA,BBBB,1980-01-01 00:00:00,500000,"in.org.npci.upiapp",10,0,2021-01-01 00:00:00,200000,play.google.com
1414141414141414141414141414141414141414141414141414141414141414141414,AAAA,BBBB,1980-01-01 00:00:00,550000,"com.google.android.apps.nbu.paisa.user",20,0,2021-06-01 00:00:00,200000,play.google.com
1515151515151515151515151515151515151515151515151515151515151515151515,AAAA,BBBB,1980-01-01 00:00:00,1500000,"in.hsbc.hsbcindia",30,0,2019-03-01 00:00:00,500000,play.google.com
1616161616161616161616161616161616161616161616161616161616161616161616,AAAA,BBBB,1980-01-01 00:00:00,1600000,"in.hsbc.hsbcindia",40,0,2023-03-01 00:00:00,500000,play.google.com
1717171717171717171717171717171717171717171717171717171717171717171717,AAAA,BBBB,1980-01-01 00:00:00,900000,"com.axis.mobile",100,0,2018-09-09 00:00:00,300000,play.google.com
1717171717171717171717171717171717171717171717171717171717171717171718,AAAA,BBBB,1980-01-01 00:00:00,900000,"com.axis.mobile",100,0,2018-09-09 00:00:00,300000,play.google.com
1818181818181818181818181818181818181818181818181818181818181818181818,AAAA,BBBB,1980-01-01 00:00:00,1100000,"com.notrealbank.fake",10,0,2018-01-01 00:00:00,400000,play.google.com
1919191919191919191919191919191919191919191919191919191919191919191919,AAAA,BBBB,1980-01-01 00:00:00,1100000,"com.phonepe.app,snaggamea",5,0,2018-01-01 00:00:00,400000,play.google.com
2020202020202020202020202020202020202020202020202020202020202020202020,AAAA,BBBB,1980-01-01 00:00:00,300000,"com.someotherapp.unrelated",1,0,2018-01-01 00:00:00,100000,play.google.com
2121212121212121212121212121212121212121212121212121212121212121212121,AAAA,BBBB,1980-01-01 00:00:00,400000,"com.sbi.SBIFreedomPluss",5,0,2018-01-01 00:00:00,150000,play.google.com
