com.sbi.lotusintouch , A
com.sbi.SBIFreedomPlus, A
org.npci.erupeeSBI , C
com.YONOUKMobileApp , B
com.sbi.upi , C
com.canarabank.mobility , A
com.canarabank.candimerchant , B
com.bankofbaroda.mconnect , A
com.bankofbaroda.bobworlddmb , B
com.bankofbaroda.upi , C
com.naviapp , C
com.Version1 , A
com.pnb.cbdc , B
com.mgs.pnbupi , C
com.infrasoft.uboi , A
com.ubi.parivar , B
com.infrasoft.uboi , B
org.npci.erupeeUBI , C
com.boi.ua.android , A
com.boi.erupee.prod , A
com.montran.merchant.boiapp , A
com.boi.erupee.prod, A
com.infra.aryavartupi , A
com.bom.lifestylebanking , A
com.iexceed.ib.digitalbankingprod , A
org.npci.erupeeINDIAN , B
com.indianbank.creditcard , B
com.infrasofttech.CentralBank , A
com.centralbank.retail.omni , B
com.infrasoft.cbiMiniMerchant . C
com.iob.iobconnect , A
com.euronet.iobupi , B
com.euronet.merchantapp , C
com.lcode.ucomobilebanking , A
com.lcode.ucoupi , B
com.uco.cbdc , C
com.psb.omniretail , A
com.bcg.psbbank , B
com.psb.lendperfect , C
com.ausmallfinancebank.amb , B
com.ujjivanbank.mobilebanking , B
com.equitas.elevate , B
com.janabank.mtc , C
com.esaf.mobileBanking , C
com.suryoday.MB , B
com.utkarsh.mobile , C
com.lcode.clabmbanking , C
com.shivalik.mb , C
com.unitybank.app.mobilebanking , C
indwin.c3.shareapp , C
