account_node,graph_louvain_community,graph_betweenness,graph_pagerank,graph_fan_in_out_ratio
80E50C3C0,0,0.0,8.256837729459909e-06,1.0
80FA8F490,0,0.0,1.531111595884167e-05,0.0
8001C6CC0,1,0.0,8.256837729459909e-06,2.0
8010A7DF0,1,0.0,1.1783976844150791e-05,0.0
80CAF3CE0,2,0.0,5.9340006988771e-05,0.3333333333333333
804DC2C20,3,0.0,8.256837729459909e-06,1.0
80597A020,3,0.0,1.531111595884167e-05,0.0
80A5EC8A0,4,0.0,8.256837729459909e-06,1.0
80C038E30,4,0.0,1.531111595884167e-05,0.5
100428A51,5,0.0,8.256837729459909e-06,124.0
8137442D1,5,0.0,8.31372707001944e-06,0.0
80A2D9ED0,6,0.0,1.531111595884167e-05,0.5
80A493240,6,0.0,2.8078542872164022e-05,0.3333333333333333
80029D5F0,7,0.0,8.256837729459909e-06,3.0
801FD9E70,7,0.0,1.0608263805920497e-05,0.0
800B5DA80,8,0.0,8.256837729459909e-06,1.0
802CE0C50,8,0.0,1.531111595884167e-05,0.0
811C19C00,9,0.0,8.256837729459909e-06,1.0
81202D490,9,0.0,1.531111595884167e-05,0.0
8112E4000,10,0.0,8.256837729459909e-06,1.0
811404180,10,0.0,1.531111595884167e-05,0.0
80F53A020,11,0.0,3.379842235911546e-05,0.5
802AEF640,12,0.0,8.256837729459909e-06,1.0
8058C1CC0,12,0.0,1.531111595884167e-05,0.0
813742671,13,0.0,8.256837729459909e-06,1.0
814312B51,13,0.0,1.531111595884167e-05,0.0
803F012E0,14,0.0,8.256837729459909e-06,1.0
80B92CB40,14,0.0,1.531111595884167e-05,0.0
100428978,1015,0.0,2.236539418822343e-05,67.0
80EE8D950,1015,0.0,8.357215173412262e-06,0.0
807CD5F60,16,0.0,8.256837729459909e-06,1.0
80D074240,16,0.0,5.9340006988771e-05,0.3333333333333333
800A11A70,17,0.0,8.256837729459909e-06,1.0
80571DE10,17,0.0,1.531111595884167e-05,0.0
804AA5D40,18,0.0,8.256837729459909e-06,1.0
81224AF40,18,0.0,1.531111595884167e-05,0.0
802FA1190,19,0.0,8.256837729459909e-06,1.0
80B8EAC80,19,0.0,1.531111595884167e-05,0.0
806152370,20,0.0,8.256837729459909e-06,1.0
80655E4E0,20,0.0,1.531111595884167e-05,0.0
804C0AEB0,21,0.0,8.256837729459909e-06,1.0
80AF21280,21,0.0,1.531111595884167e-05,0.0
807352390,22,0.0,8.256837729459909e-06,1.0
80EF25A80,22,0.0,1.531111595884167e-05,0.0
800BFEDB0,23,0.0,8.256837729459909e-06,1.0
803E270B0,23,0.0,1.531111595884167e-05,0.5
80160A680,24,0.0,8.256837729459909e-06,1.0
80A09AD70,24,0.0,1.531111595884167e-05,0.0
80613E7A0,25,0.0,3.379842235911546e-05,0.5
8037DE9E0,26,0.0,8.256837729459909e-06,1.0
80C6E87B0,26,0.0,1.531111595884167e-05,0.0
801C50EB0,27,0.0,8.256837729459909e-06,1.0
807923070,27,0.0,1.531111595884167e-05,0.0
80B027E60,28,0.0,8.256837729459909e-06,1.0
80B024550,28,0.0,2.236539418822343e-05,0.0
810A585A0,29,0.0,8.256837729459909e-06,1.0
8108740A0,29,0.0,1.531111595884167e-05,0.0
80200A570,30,0.0,8.256837729459909e-06,2.0
8022444D0,30,0.0,1.1783976844150791e-05,0.0
80EAFB2D0,31,0.0,8.256837729459909e-06,1.0
80EA67B00,31,0.0,1.531111595884167e-05,0.0
100428810,32,0.0,8.256837729459909e-06,162.0
8138AA210,32,0.0,8.300382656801772e-06,0.0
8004F2AC0,33,0.0,8.256837729459909e-06,2.0
8031D8510,33,0.0,1.1783976844150791e-05,0.0
1004289C0,34,0.0,2.236539418822343e-05,52.666666666666664
8113BF120,34,0.0,8.384533085373978e-06,0.0
810381010,35,0.0,1.4463470640261736e-05,1.0
802C96780,36,0.0,1.0608263805920497e-05,0.5
803CFDB90,36,0.0,6.550244245552893e-05,0.3333333333333333
80DB0ABB0,37,0.0,8.256837729459909e-06,1.0
814301BE0,37,0.0,1.531111595884167e-05,0.0
80043AE10,38,0.0,8.256837729459909e-06,1.0
801114B10,38,0.0,1.531111595884167e-05,0.0
80146ABB0,39,0.0,3.379842235911546e-05,0.5
8000BF540,40,0.0,8.256837729459909e-06,1.0
80CE6FBE0,40,0.0,1.531111595884167e-05,0.0
801B0AB90,41,0.0,8.256837729459909e-06,1.0
8028D0950,41,0.0,1.531111595884167e-05,0.0
80C8F25C0,42,0.0,8.256837729459909e-06,2.0
8102BCA90,42,0.0,1.4135402920611378e-05,0.0
8067245A0,43,0.0,8.256837729459909e-06,1.0
80B656A50,43,0.0,1.531111595884167e-05,0.0
80AD7EDC0,44,0.0,8.256837729459909e-06,1.0
80ADF4870,44,0.0,2.236539418822343e-05,0.0
80FDF5350,45,0.0,8.256837729459909e-06,1.0
8108E3DA0,45,0.0,1.531111595884167e-05,0.0
8047BB5F0,46,0.0,8.256837729459909e-06,1.0
80E817480,46,0.0,1.531111595884167e-05,0.0
80E00EB70,47,0.0,8.256837729459909e-06,1.0
80E310B20,47,0.0,1.531111595884167e-05,0.0
803683760,48,0.0,3.379842235911546e-05,0.5
80B9A9F30,49,0.0,3.379842235911546e-05,0.5
8143F6AE1,5,0.0,8.31372707001944e-06,0.0
80838BB00,50,0.0,8.256837729459909e-06,1.0
8083FE3D0,50,0.0,1.531111595884167e-05,0.0
8053D0460,51,0.0,3.379842235911546e-05,0.5
80DD86040,52,0.0,8.256837729459909e-06,2.0
80FC70850,52,0.0,1.1783976844150791e-05,0.0
805A6DF50,53,0.0,3.379842235911546e-05,0.5
8031C8770,54,0.0,8.256837729459909e-06,1.0
8126A0D20,54,0.0,1.531111595884167e-05,0.0
805EA4410,55,0.0,8.256837729459909e-06,1.0
80D057BD0,55,0.0,1.531111595884167e-05,0.0
803955030,56,0.0,3.379842235911546e-05,0.5
8001142C0,57,0.0,8.256837729459909e-06,1.0
8003BAD20,57,0.0,1.531111595884167e-05,0.0
80FDC0430,58,0.0,8.256837729459909e-06,1.0
80FE0F6E0,58,0.0,1.531111595884167e-05,0.0
80EACA5E0,59,0.0,8.256837729459909e-06,1.0
80F064950,59,0.0,1.531111595884167e-05,0.0
8025A2320,60,0.0,1.531111595884167e-05,1.0
80484B3F0,60,0.0,1.5064373845411056e-05,0.0
80E9DC9B0,61,0.0,8.256837729459909e-06,1.0
80FA254A0,61,0.0,2.892618819074396e-05,0.0
80BAA3BA0,62,0.0,8.256837729459909e-06,1.0
813A9BF00,62,0.0,1.531111595884167e-05,0.0
803A3F320,63,0.0,8.256837729459909e-06,1.0
80B3FE2F0,63,0.0,1.531111595884167e-05,0.0
80505B930,64,0.0,8.256837729459909e-06,1.0
805652E00,64,0.0,1.531111595884167e-05,0.0
8064CBF90,65,0.0,8.256837729459909e-06,1.0
80725B150,65,0.0,1.531111595884167e-05,0.0
80CE45150,66,0.0,1.531111595884167e-05,2.0
80D66FA40,66,0.0,1.1660605787435482e-05,0.0
807DC6250,67,0.0,1.4463470640261736e-05,1.0
80AA52DD0,67,0.0,1.4463470640261736e-05,0.0
809A5C2E0,68,0.0,8.256837729459909e-06,1.0
809D400E0,68,0.0,1.531111595884167e-05,0.0
81061E4D0,69,0.0,8.256837729459909e-06,2.0
811370500,69,0.0,1.1783976844150791e-05,0.0
80807E3D0,70,0.0,3.379842235911546e-05,0.5
8090B5C00,71,0.0,8.256837729459909e-06,2.0
8090D34B0,71,0.0,1.1783976844150791e-05,0.5
81428DB41,5,0.0,8.31372707001944e-06,0.5
8148E2C91,5,0.0,1.5364025587894255e-05,0.0
8050DBA50,72,0.0,8.256837729459909e-06,2.0
805E36380,72,0.0,1.8838255073532552e-05,0.0
800ED8F20,73,0.0,8.256837729459909e-06,1.0
800FE6D90,73,0.0,1.531111595884167e-05,0.0
807C46070,74,0.0,8.256837729459909e-06,2.0
807DFD220,74,0.0,1.1783976844150791e-05,0.0
8009A7500,75,0.0,8.256837729459909e-06,1.0
801AE49A0,75,0.0,1.531111595884167e-05,0.0
1004286A8,76,0.0,5.763678533513225e-05,121.375
800ECB540,76,0.0,8.311399867716372e-06,0.0
80306C260,77,0.0,8.256837729459909e-06,1.0
8047CAC00,77,0.0,1.531111595884167e-05,0.0
809626620,78,0.0,8.256837729459909e-06,1.0
80B201850,78,0.0,1.531111595884167e-05,0.0
80E87EF30,79,0.0,8.256837729459909e-06,1.0
80E9B9470,79,0.0,2.236539418822343e-05,0.0
8043F4920,80,0.0,8.256837729459909e-06,1.0
8026CA2C0,80,0.0,1.531111595884167e-05,0.0
805BB1F10,81,0.0,8.256837729459909e-06,1.0
80DABB8B0,81,0.0,1.531111595884167e-05,0.0
800DD01C0,82,0.0,3.379842235911546e-05,0.5
80BA37C50,83,0.0,8.256837729459909e-06,1.0
80B9A14A0,83,0.0,1.531111595884167e-05,0.0
803261B20,84,0.0,3.379842235911546e-05,0.5
803F189C0,85,0.0,8.256837729459909e-06,1.0
804657BE0,85,0.0,1.531111595884167e-05,0.0
80B946880,76,0.0,8.311399867716372e-06,0.0
80A1DF4E0,86,0.0,8.256837729459909e-06,1.0
80A459390,86,0.0,1.7662542035302257e-05,0.0
802011AA0,87,0.0,3.379842235911546e-05,0.5
80F25C7E0,76,0.0,8.311399867716372e-06,0.0
8002589A0,88,0.0,8.256837729459909e-06,2.0
8027BFBF0,88,0.0,1.1783976844150791e-05,0.5
803A00320,89,0.0,8.256837729459909e-06,1.0
803C15C00,89,0.0,1.531111595884167e-05,0.0
81237C110,90,0.0,8.256837729459909e-06,1.0
8123EE0C0,90,0.0,1.531111595884167e-05,0.0
8008A70E0,91,0.0,8.256837729459909e-06,2.0
807264000,91,0.0,1.1783976844150791e-05,0.0
8049574C0,92,0.0,8.256837729459909e-06,1.0
80BCBECD0,92,0.0,1.531111595884167e-05,0.0
8011E9370,93,0.0,8.256837729459909e-06,1.0
8011E96E0,93,0.0,1.531111595884167e-05,0.0
80B7297B0,94,0.0,8.256837729459909e-06,1.0
80BEBBAD0,94,0.0,1.531111595884167e-05,0.0
1004288E8,95,0.0,1.531111595884167e-05,39.5
80C9EA030,95,0.0,8.429180415939685e-06,0.0
